sample_id,tilstandsklasse,limiting_parameters,classification_basis
p01-HTØP8470,3.0,Benzene,TA-2553/2009
p01-BR-HØ-8550,3.0,Benzene,TA-2553/2009
p01-BR-HØ-8580,3.0,Benzene,TA-2553/2009
p01-BR-HØ-8650,4.0,Benzene,TA-2553/2009
p01-BR-HØ-8700,5.0,Benzene,TA-2553/2009
p01-BR-HØ-8735,5.0,Benzene,TA-2553/2009
p01-BR-HØ-8800,5.0,Benzene,TA-2553/2009
p01-BR-HØ-8850,5.0,Benzene,TA-2553/2009
p01-BR-HØ-8900,5.0,Benzene,TA-2553/2009
p01-BR-HTV-grøft_P7650-7700-1,5.0,Benzene,TA-2553/2009
p01-BR-HTV-grøft_P7650-7700-2,4.0,Benzene,TA-2553/2009
p01-BR-HTV-grøft_P7650-7700-3,4.0,Benzene,TA-2553/2009
p01-BR-HTVgrøfttrase8-4,5.0,Benzene,TA-2553/2009
p01-BR-HV-7460,4.0,Benzene,TA-2553/2009
p01-BR-HV-7510,5.0,Benzene,TA-2553/2009
p01-BR-HV-7550,3.0,"Benzene, Ni",TA-2553/2009
p01-BR-HV-7560ute1,5.0,Benzene,TA-2553/2009
p01-BR-HV-7570,3.0,"Benzene, Ni",TA-2553/2009
p01-BR-HV-7610,5.0,Benzene,TA-2553/2009
p01-BR-HV-7660,5.0,Benzene,TA-2553/2009
p01-BR-HV-7710,5.0,Benzene,TA-2553/2009
p01-BR-HV-7760,5.0,Benzene,TA-2553/2009
p01-BR-HV-7810,5.0,Benzene,TA-2553/2009
p01-BR-HTV-7860,5.0,Benzene,TA-2553/2009
p01-BR-HV-7910,2.0,Ni,TA-2553/2009
p01-BR-Pumpesump,3.0,Benzene,TA-2553/2009
p01-BR-HTV-kornfordeling,,,TA-2553/2009
