analysis_type,param_code,parameter,p01-BR-HTV-7860 (mg/kg),p01-BR-HTV-grøft_P7650-7700-1 (mg/kg),p01-BR-HTV-grøft_P7650-7700-2 (mg/kg),p01-BR-HTV-grøft_P7650-7700-3 (mg/kg),p01-BR-HTV-kornfordeling (%),p01-BR-HTVgrøfttrase8-4 (mg/kg),p01-BR-HV-7460 (mg/kg),p01-BR-HV-7510 (mg/kg),p01-BR-HV-7550 (mg/kg),p01-BR-HV-7560ute1 (mg/kg),p01-BR-HV-7570 (mg/kg),p01-BR-HV-7610 (mg/kg),p01-BR-HV-7660 (mg/kg),p01-BR-HV-7710 (mg/kg),p01-BR-HV-7760 (mg/kg),p01-BR-HV-7810 (mg/kg),p01-BR-HV-7910 (mg/kg),p01-BR-HØ-8550 (mg/kg),p01-BR-HØ-8580 (mg/kg),p01-BR-HØ-8650 (mg/kg),p01-BR-HØ-8700 (mg/kg),p01-BR-HØ-8735 (mg/kg),p01-BR-HØ-8800 (mg/kg),p01-BR-HØ-8850 (mg/kg),p01-BR-HØ-8900 (mg/kg),p01-BR-Pumpesump (mg/kg),p01-HTØP8470 (mg/kg)
kornfordeling,Kornfordeling_0.002mm,Kumulativ % passerende 0.002 mm,,,,,0.220,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.004mm,Kumulativ % passerende 0.004 mm,,,,,0.610,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.008mm,Kumulativ % passerende 0.008 mm,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.016mm,Kumulativ % passerende 0.016 mm,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.032mm,Kumulativ % passerende 0.032 mm,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.063mm,Kumulativ % passerende 0.063 mm,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.125mm,Kumulativ % passerende 0.125 mm,,,,,2.91,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.25mm,Kumulativ % passerende 0.25 mm,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0.5mm,Kumulativ % passerende 0.5 mm,,,,,4.23,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_0mm,Kumulativ % passerende 0 mm,,,,,0,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_100mm,Kumulativ % passerende 100 mm,,,,,100,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_16mm,Kumulativ % passerende 16 mm,,,,,19.59,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_1mm,Kumulativ % passerende 1 mm,,,,,5.41,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_2mm,Kumulativ % passerende 2 mm,,,,,6.79,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_31.5mm,Kumulativ % passerende 31.5 mm,,,,,28.96,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_4mm,Kumulativ % passerende 4 mm,,,,,8.65,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_63mm,Kumulativ % passerende 63 mm,,,,,72.04,,,,,,,,,,,,,,,,,,,,,,
kornfordeling,Kornfordeling_8mm,Kumulativ % passerende 8 mm,,,,,12.72,,,,,,,,,,,,,,,,,,,,,,
totalanalyse,Alifater_C10-C12,Alifater >C10-C12,<5,<5,<5,<5,,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5
totalanalyse,Alifater_C12-C35,Sum alifater > C12-C35,36,97,<10,22,,<10,17,16,33,40,25,<10,23,12,15,10,13,<10,25,<10,13,12,16,26,27,130,46
totalanalyse,Alifater_C8-C10,Alifater >C8-C10,<2,<2,<2,<2,,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2
totalanalyse,As,Arsen,6.4,6.5,7.8,4.8,,11,1,11,15,8.2,19,8.8,10,10,5.3,5.1,5.1,6.6,8.9,5.9,5.9,7.8,6.8,6.5,5.5,7.3,8.7
totalanalyse,BaP,Benso(a)pyren^,<0.010,<0.010,<0.010,<0.010,,<0.010,<0.010,<0.010,0.011,<0.010,0.011,<0.010,<0.010,0.012,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
totalanalyse,Benzene,Benzen,0.110,0.220,0.050,0.044,,0.070,0.043,0.150,0.019,0.130,0.016,0.094,0.190,0.100,0.100,0.110,0.010,0.036,0.040,0.044,0.093,0.200,0.220,0.130,0.190,0.024,0.030
totalanalyse,Cd,Kadmium,<0.020,0.110,<0.020,<0.020,,<0.020,<0.020,<0.020,<0.020,0.130,<0.020,0.250,0.310,0.240,0.300,0.160,0.028,<0.020,0.036,<0.020,0.066,0.094,0.097,0.120,0.150,<0.020,<0.020
totalanalyse,Cr,Krom,61,72,90,110,,87,83,73,120,55,85,91,87,48,45,100,33,78,62,63,96,71,75,85,75,57,88
totalanalyse,Cu,Kopper,25,31,28,35,,35,25,29,25,28,31,36,31,33,23,25,20,30,34,35,28,29,33,26,22,31,49
totalanalyse,Ethylbenzene,Etylbenzen *,<0.040,<0.040,<0.040,<0.040,,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040,<0.040
totalanalyse,Hg,Kvikksølv,<0.010,<0.010,0.018,<0.010,,<0.010,<0.010,<0.010,0.020,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,0.011,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,0.016,0.017
totalanalyse,Ni,Nikkel,88,100,120,130,,120,110,100,160,79,160,130,110,91,66,120,95,110,93,91,130,110,120,100,110,67,120
totalanalyse,PAH16,Sum PAH-16,<0.160,0.058,0.051,0.082,,<0.160,0.110,0.049,0.024,0.043,0.012,0.091,0.094,0.097,0.130,0.160,<0.160,0.042,0.059,0.071,<0.160,<0.160,<0.160,<0.160,0.210,0.019,0.028
totalanalyse,PCB7,Sum PCB7,<0.0070,<0.0070,<0.0070,<0.0070,,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070,<0.0070
totalanalyse,Pb,Bly,8.5,9.4,16,11,,20,8.7,15,15,44,16,16,15,12,7.8,8.4,33,10,13,13,8.4,9.4,9.5,7.7,13,13,4.3
totalanalyse,Toluene,Toluen*,0.048,0.160,0.062,<0.040,,0.062,<0.040,0.074,<0.040,0.088,<0.040,0.076,0.110,0.061,0.070,0.079,<0.040,<0.040,<0.040,<0.040,0.067,0.083,0.100,0.071,0.110,<0.040,<0.040
