sample_name,included,matches_filter,order_number,sample_date,description
0-1m,No,No,NO2516629,2025-07-02,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
"01, 0-1m",No,No,NO2516629,2025-07-02,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
"03, 0-1m",No,No,NO2516629,2025-07-02,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
"03, 1-2m",No,No,NO2516629,2025-07-02,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
1 år. Hydraulikkolje 1,No,No,NO2516623,2025-07-01,"Hydraulikkolje forsøk av vanlig HVXA46. 1år etter ""søl"""
1 år. Hydraulikkolje 1 -  blandet med jord,No,No,NO2516623,2025-07-01,"Hydraulikkolje forsøk av vanlig HVXA46 . 1år etter ""søl"". Blandet med jord og frøblanding og oppbevart utendørs til lufting de siste månedene"
1 år. Hydraulikkolje 1 - ute,No,No,NO2516623,2025-07-01,"Hydraulikkolje forsøk av vanlig HVXA46 . 1år etter ""søl"". Oppbevart utendørs til lufting under tak de siste månedene"
1 år. Hydraulikkolje 2,No,No,NO2516623,2025-07-01,"Hydraulikkolje forsøk av biohydraulikkolje. 1år etter ""søl"""
1 år. Hydraulikkolje 2 -  blandet med jord,No,No,NO2516623,2025-07-01,"Hydraulikkolje forsøk av biohydraulikkolje . 1år etter ""søl"". Blandet med jord og frøblanding og oppbevart utendørs til lufting de siste månedene"
1 år. Hydraulikkolje 2 - ute,No,No,NO2516623,2025-07-01,"Hydraulikkolje forsøk av biohydraulikkolje. 1år etter ""søl"". Oppbevart utendørs til lufting under tak."
2 mnd Hydraulikkolje 1,No,No,NO2420902,2024-09-12,Hydraulikkolje forsøk 1
2 mnd Hydraulikkolje 2,No,No,NO2420902,2024-09-12,Hydraulikkolje forsøk 2
2m-3m,No,No,NO2516629,2025-07-02,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
5-6m,No,No,NO2516629,2025-07-02,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
6 mnd. Hydraulikkolje 1,No,No,NO2500310,2025-01-07,"Hydraulikkolje forsøk av vanlig HVXA46. . 6 mnd etter ""søl"""
6 mnd. Hydraulikkolje 2,No,No,NO2500310,2025-01-07,"Hydraulikkolje forsøk av biohydraulikkolje. . 6 mnd etter ""søl"""
B6 nord,No,No,NO2314966,2023-07-12,Avgrensende prøve - alifat forurensning
B6 sør,No,No,NO2314966,2023-07-12,Avgrensende prøve - alifat forurensning
B6 vest,No,No,NO2315727,2023-07-31,Avgrensende prøve - alifat forurensning
B6 øst,No,No,NO2314589,2023-07-05,Avgrensende prøve - alifat forurensning
BRMØ1,No,No,NO2404953,2024-03-07,"Bunnrenskmasser østgående løp, 1. prøve"
BRMØ1 kolonnetest,No,No,NO2404953,2024-03-07,L/S=0.1
BRMØ1 ristetest,No,No,NO2404953,2024-03-07,
Beredskapskonteiner 24/6,No,No,NO2414503,2024-06-24,Prøve av masser fra oljesøl ink. noe bark brukt som absorbent
Blandeprøve bunnrensk 8960-8760,Yes,Yes,NO2426201,2024-11-06,Bunnrensk
Blandeprøve pel 9260-9110,Yes,Yes,NO2518613,2025-08-04,Bunnrensk
Blandeprøve pel 9760 - 9560,Yes,Yes,NO2510239,2025-04-30,Blandeprøve pel 9760 -9560
Blandeprøve pel. 10010 - 9810,Yes,Yes,NO2503280,2025-02-12,Bunnrenskprøver testes for Benzen.
Blandeprøve pel. 9510 - 9310,Yes,Yes,NO2512144,2025-05-20,Blandeprøve av bunnrenskmasser
Bunnrensk 8760,Yes,Yes,NO2427296,2024-11-06,Bunnrensk
Bunnrensk 8810,Yes,Yes,NO2427296,2024-11-06,Bunnrensk
Bunnrensk 8860,Yes,Yes,NO2427296,2024-11-06,Bunnrensk
Bunnrensk 8910,Yes,Yes,NO2427296,2024-11-06,Bunnrensk
Bunnrensk 8960,Yes,Yes,NO2427296,2024-11-06,Bunnrensk
Bunnrensk 9010,Yes,Yes,NO2418537,2024-08-21,Bunnrensk 9010
"Bunnrensk Høviktoppen a 0,5m",Yes,Yes,NO2512188,2025-05-21,Sjekker for bunnrensk etter utlegging
Bunnrensk Høviktoppen a 0m,Yes,Yes,NO2512188,2025-05-21,Sjekker for bunnrensk etter utlegging
"Bunnrensk Høviktoppen b 0,5m",Yes,Yes,NO2512188,2025-05-21,Sjekker for bunnrensk etter utlegging
Bunnrensk Høviktoppen b 0m,Yes,Yes,NO2512188,2025-05-21,Sjekker for bunnrensk etter utlegging
"Bunnrensk Høviktoppen c 0,5m",Yes,Yes,NO2522963,2025-09-18,Stikkprøve for endringer i benzen
Bunnrensk Høviktoppen c 0m,Yes,Yes,NO2512188,2025-05-21,Sjekker for bunnrensk etter utlegging
"Bunnrensk Høviktoppen c 1,5-2m",Yes,Yes,NO2522963,2025-09-18,Stikkprøve for endringer i benzen
Bunnrensk fra Høviktoppen dag 4,Yes,Yes,NO2501500,2025-01-22,Bunnrensk fra Høviktoppen utest dag 3. Pel 8560 - 8360
"Bunnrensk pel 8760, dag 4",Yes,Yes,NO2501500,2025-01-22,Utetest av bunnrensk fra pel 8760. Testes for Benzen for fjerde dag.
Bunnrensk pel. 8760 Ved utkjøring,Yes,Yes,NO2501241,2025-01-20,Bunnrenskprøve tatt av Jostein før utkjøring.
Bunnrensk pel. 8760 dag 3,Yes,Yes,NO2501363,2025-01-21,"Bunnrensk pel. 8760, test utendørs dag 3"
Bunnrensk pel. 8760 etter utkjøring,Yes,Yes,NO2501241,2025-01-20,Bunnrenskprøve pel. 8760 som har ligget noen dager. Første test ute
Bunnrensk prøver som sjekkes for Benzen.,Yes,Yes,NO2500500,2025-01-08,Bunnrensk pel. 8510
"Bunnrensk, Høviktoppen",Yes,Yes,NO2501241,2025-01-17,Bunnrensk fra Høviktoppen. Første test.
Bunnrenskprøve 8760,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Bunnrenskprøve pel. 10010 - 9810,Yes,Yes,NO2504945,2025-02-12,
Bunnrenskprøve pel. 9810,Yes,Yes,NO2504945,2025-02-12,
Bunnrenskprøve pel. 9860,Yes,Yes,NO2504945,2025-02-12,
Bunnrenskprøve pel. 9910,Yes,Yes,NO2504945,2025-02-12,
Bunnrenskprøve pel. 9960,Yes,Yes,NO2504945,2025-02-12,
Bunnrenskprøver 8560,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Bunnrenskprøver 8610,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Bunnrenskprøver 8660,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Bunnrenskprøver 8710,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Dag 0,No,No,NO2429146,2024-11-21,Sprengsteinsprøver
Dag 4,No,No,NO2429146,2024-11-25,Sprengsteinsprøver
Dag 8,No,No,NO2429146,2024-12-02,Sprengsteinsprøver
Elise Roalkvam,No,No,NO2309577,2023-05-08,Slam fra slambassenget. Tatt fra skuff. Prøve tatt samme dag som slambilen leverte slammet til Fossum.
Esso Sandfang (ES) 2 Nord,No,No,NO2315726,2023-07-31,Avgrensende prøve - alifat forurensning
Esso Sandfang 1 - nord,No,No,NO2309899,2023-05-10,Avgrensning mot tidligere forurensning. Begge prøvetakingspunkt og område hvor sandfanger var kunne en se skille mot stedlige masser/leire.
Esso Sandfang 1 - sør,No,No,NO2309899,2023-05-10,Avgrensning mot tidligere forurensning. Begge prøvetakingspunkt og område hvor sandfanger var kunne en se skille mot stedlige masser/leire.
Esso sandfang 2 sør,No,No,NO2314861,2023-07-10,Avgrensende prøve - alifat forurensning
Esso sør,No,No,NO2314861,2023-07-10,Avgrensende prøve - alifat forurensning
Filterkake fra Jetpeling,No,No,NO2221147,2022-10-17,Filterkake fra jetpeling
Før søl. Beholder: biohydraulikkolje,No,No,NO2415780,2024-07-10,
Før søl. Beholder: hydraulikkolje,No,No,NO2415780,2024-07-10,
