sample_id,decision,destination,notes
p02-Bunnrensk-Høviktoppen-c-05m,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-Høviktoppen-c-15-2m,deponi,,Bestemmes på et senere tidspunkt
p02-Blandeprøve-pel-9260-9110,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-Høviktoppen-a-0m,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-Høviktoppen-a-05m,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-Høviktoppen-b-0m,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-Høviktoppen-b-05m,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-Høviktoppen-c-0m,deponi,,Bestemmes på et senere tidspunkt
p02-Blandeprøve-pel-9510---9310,deponi,,Bestemmes på et senere tidspunkt
p02-Blandeprøve-pel-9760---9560,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøve-pel-10010---9810,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøve-pel-9960,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøve-pel-9910,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøve-pel-9860,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøve-pel-9810,deponi,,Bestemmes på et senere tidspunkt
p02-Blandeprøve-pel-10010---9810,deponi,,Bestemmes på et senere tidspunkt
p02-Siste-utlekkingsprøve-Høviktoppen-pel-8760,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-pel-8760-dag-4,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-fra-Høviktoppen-dag-4,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-pel-8760-dag-3,gjenbruk,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-pel-8760-Ved-utkjøring,deponi,,Bestemmes på et senere tidspunkt
p02-Grøfteslam,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-pel-8760-etter-utkjøring,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-Høviktoppen,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-prøver-som-sjekkes-for-Benzen,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøve-8760,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøver-8710,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøver-8660,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøver-8610,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrenskprøver-8560,deponi,,Bestemmes på et senere tidspunkt
p02-Pel-8760---8560,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-8760,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-8810,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-8860,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-8910,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-8960,deponi,,Bestemmes på et senere tidspunkt
p02-Blandeprøve-bunnrensk-8960-8760,deponi,,Bestemmes på et senere tidspunkt
p02-Grøftekant-9010,deponi,,Bestemmes på et senere tidspunkt
p02-Bunnrensk-9010,deponi,,Bestemmes på et senere tidspunkt
p02-BRMØ1,deponi,,Bestemmes på et senere tidspunkt
p02-BRMØ1-ristetest,gjenbruk,,Bestemmes på et senere tidspunkt
p02-BRMØ1-kolonnetest,gjenbruk,,Bestemmes på et senere tidspunkt
p02-PEL-9960,deponi,,Bestemmes på et senere tidspunkt
p02-PEL-8981,deponi,,Bestemmes på et senere tidspunkt
p02-PEL-9960-Ristetest,gjenbruk,,Bestemmes på et senere tidspunkt
p02-PEL-8981-Ristetest,gjenbruk,,Bestemmes på et senere tidspunkt
p02-PEL-9960-Kolonnetest,gjenbruk,,Bestemmes på et senere tidspunkt
p02-PEL-8981-Kolonnetest,gjenbruk,,Bestemmes på et senere tidspunkt
p02-Sprengstein-Pel-9160,deponi,,Bestemmes på et senere tidspunkt
