sample_id,parameter,parameter_raw,value,unit,uncertainty,below_limit,loq
p09-MOA-001,DryMatter,Tørrstoff,76.8,%,4.64,False,
p09-MOA-001,As,Arsen,51.9,mg/kg,10.4,False,
p09-MOA-001,Cd,Kadmium,0.77,mg/kg,0.15,False,
p09-MOA-001,Cr,Krom,15.9,mg/kg,3.18,False,
p09-MOA-001,Cu,Kopper,370.0,mg/kg,74.0,False,
p09-MOA-001,Hg,Kvikksølv,0.2,mg/kg,,True,0.2
p09-MOA-001,Ni,Nikkel,12.4,mg/kg,2.5,False,
p09-MOA-001,Pb,Bly,5.5,mg/kg,1.1,False,
p09-MOA-001,Zn,Sink,170.0,mg/kg,33.9,False,
p09-MOA-001,PCB28,PCB 28,0.003,mg/kg,,True,0.003
p09-MOA-001,PCB52,PCB 52,0.003,mg/kg,,True,0.003
p09-MOA-001,PCB101,PCB 101,0.003,mg/kg,,True,0.003
p09-MOA-001,PCB118,PCB 118,0.003,mg/kg,,True,0.003
p09-MOA-001,PCB138,PCB 138,0.003,mg/kg,,True,0.003
p09-MOA-001,PCB153,PCB 153,0.003,mg/kg,,True,0.003
p09-MOA-001,PCB180,PCB 180,0.003,mg/kg,,True,0.003
p09-MOA-001,PCB7,Sum PCB-7,0.0,mg/kg,,True,
p09-MOA-001,Naphthalene,Naftalen,0.01,mg/kg,,True,0.01
p09-MOA-001,Acenaphthylene,Acenaftylen,0.01,mg/kg,,True,0.01
p09-MOA-001,Acenaphthene,Acenaften,0.01,mg/kg,,True,0.01
p09-MOA-001,Fluorene,Fluoren,0.01,mg/kg,,True,0.01
p09-MOA-001,Phenanthrene,Fenantren,0.01,mg/kg,,True,0.01
p09-MOA-001,Anthracene,Antracen,0.01,mg/kg,,True,0.01
p09-MOA-001,Fluoranthene,Fluoranten,0.01,mg/kg,,True,0.01
p09-MOA-001,Pyrene,Pyren,0.01,mg/kg,,True,0.01
p09-MOA-001,BaA,Benzo(a)antracen,0.01,mg/kg,,True,0.01
p09-MOA-001,Chrysene,Krysen,0.01,mg/kg,,True,0.01
p09-MOA-001,BbF,Benzo(b)fluoranten,0.01,mg/kg,,True,0.01
p09-MOA-001,BkF,Benzo(k)fluoranten,0.01,mg/kg,,True,0.01
p09-MOA-001,BaP,Benzo(a)pyren,0.01,mg/kg,,True,0.01
p09-MOA-001,DahA,Dibenzo(ah)antracen,0.01,mg/kg,,True,0.01
p09-MOA-001,BghiP,Benzo(ghi)perylen,0.01,mg/kg,,True,0.01
p09-MOA-001,PAH16,Sum PAH-16,0.0,mg/kg,,True,
p09-MOA-001,Cr_VI,Cr6+,0.272,mg/kg,0.055,False,
p09-MOA-001,Benzene,Benzen,0.005,mg/kg,,True,0.005
p09-MOA-001,Toluene,Toluen,0.1,mg/kg,,True,0.1
p09-MOA-001,Ethylbenzene,Etylbensen,0.02,mg/kg,,True,0.02
p09-MOA-001,Xylene,Xylener,0.015,mg/kg,,True,0.015
p09-MOA-001,BTEX,Sum BTEX,0.0,mg/kg,,True,
p09-MOA-001,THC_C5-C6,Fraksjon >C5-C6,7.0,mg/kg,,True,7.0
p09-MOA-001,THC_C6-C8,Fraksjon >C6-C8,7.0,mg/kg,,True,7.0
p09-MOA-001,THC_C8-C10,Fraksjon >C8-C10,10.0,mg/kg,,True,10.0
p09-MOA-001,THC_C10-C12,Fraksjon >C10-C12,2.0,mg/kg,,True,2.0
p09-MOA-001,THC_C12-C16,Fraksjon >C12-C16,3.0,mg/kg,,True,3.0
p09-MOA-001,THC_C16-C35,Fraksjon >C16-C35,140.0,mg/kg,42.0,False,
p09-MOA-001,THC_C12-C35,Sum >C12-C35,140.0,mg/kg,,False,
p09-MOA-001,CN,Cyanid-fri,0.1,mg/kg,,True,0.1
p09-MOA-001,CP_2-MCP,2-Monoklorfenol,0.02,mg/kg,,True,0.02
p09-MOA-001,CP_3-MCP,3-Monoklorfenol,0.02,mg/kg,,True,0.02
p09-MOA-001,CP_4-MCP,4-Monoklorfenol,0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,3-DCP","2,3-Diklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,4+2,5-DCP","2,4+2,5-Diklorfenol",0.04,mg/kg,,True,0.04
p09-MOA-001,"CP_2,6-DCP","2,6-Diklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_3,4-DCP","3,4-Diklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_3,5-DCP","3,5-Diklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,3,4-TCP","2,3,4-Triklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,3,5-TCP","2,3,5-Triklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,3,6-TCP","2,3,6-Triklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,4,5-TCP","2,4,5-Triklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,4,6-TCP","2,4,6-Triklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_3,4,5-TCP","3,4,5-Triklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,3,4,5-TeCP","2,3,4,5-Tetraklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,3,4,6-TeCP","2,3,4,6-Tetraklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,"CP_2,3,5,6-TeCP","2,3,5,6-Tetraklorfenol",0.02,mg/kg,,True,0.02
p09-MOA-001,CP_PCP,Pentaklorfenol,0.006,mg/kg,,True,0.006
p09-MOA-001,CB_MCB,Monoklorbensen,0.01,mg/kg,,True,0.01
p09-MOA-001,"CB_1,2-DCB","1,2-Diklorbensen",0.02,mg/kg,,True,0.02
p09-MOA-001,"CB_1,4-DCB","1,4-Diklorbensen",0.02,mg/kg,,True,0.02
p09-MOA-001,"CB_1,2,3-TCB","1,2,3-Triklorbensen",0.01,mg/kg,,True,0.01
p09-MOA-001,"CB_1,2,4-TCB","1,2,4-Triklorbensen",0.03,mg/kg,,True,0.03
p09-MOA-001,"CB_1,3,5-TCB","1,3,5-Triklorbensen",0.01,mg/kg,,True,0.01
p09-MOA-001,CB_TeCB,"1,2,3,5+1,2,4,5-Tetraklorbensen",0.02,mg/kg,,True,0.02
p09-MOA-001,CB_PeCB,Pentaklorbensen,0.01,mg/kg,,True,0.01
p09-MOA-001,CB_HCB,Heksaklorbensen,0.005,mg/kg,,True,0.005
p09-MOA-001,VOC_DCM,Diklormetana,0.06,mg/kg,,True,0.06
p09-MOA-001,VOC_Chloroform,Triklormetan (kloroform),0.02,mg/kg,,True,0.02
p09-MOA-001,VOC_TCE,Trikloreten,0.01,mg/kg,,True,0.01
p09-MOA-001,VOC_CCl4,Tetraklormetana,0.01,mg/kg,,True,0.01
p09-MOA-001,VOC_PCE,Tetrakloreten,0.01,mg/kg,,True,0.01
p09-MOA-001,"VOC_1,2-DCA","1,2-Dikloretan",0.003,mg/kg,,True,0.003
p09-MOA-001,"VOC_1,1,1-TCA","1,1,1-Trikloretan",0.01,mg/kg,,True,0.01
p09-MOA-001,VOC_EDB,"1,2-Dibrometan",0.004,mg/kg,,True,0.004
p09-MOA-001,"VOC_1,1,2-TCA","1,1,2-Trikloretan",0.01,mg/kg,,True,0.01
p09-MOA-001,PEST_Lindane,g-HCH (Lindan),0.001,mg/kg,,True,0.001
p09-MOA-001,PEST_op-DDT,"o,p'-DDT",0.01,mg/kg,,True,0.01
p09-MOA-001,PEST_pp-DDT,"p,p'-DDT",0.01,mg/kg,,True,0.01
p09-MOA-001,PEST_op-DDD,"o,p'-DDD",0.01,mg/kg,,True,0.01
p09-MOA-001,PEST_pp-DDD,"p,p'-DDD",0.01,mg/kg,,True,0.01
