param_code,parameter,p09-MOA-001 (mg/kg),p09-MOA-002 (mg/kg),p09-MOA-003 (mg/kg),p09-MOA-004 (mg/kg),p09-MOA-D1 (mg/kg),p09-MOA-D2 (mg/kg),p09-MOA-T1 (mg/kg),p09-MOA-T2 (mg/kg)
Acenaften,Acenaften,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
Acenaftylen,Acenaftylen,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
Antracen,Antracen,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
As,Arsen,51.9,5.01,10,8.38,1.2,3.8,3.9,7.8
BTEX,Sum BTEX,<0,<0,<0,<0,<0,<0,<0,<0
BaP,Benzo(a)pyren,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
Benzen,Benzen,<0.0050,<0.0050,<0.0050,<0.0050,<0.010,<0.010,<0.010,<0.010
Benzo(a)antracen,Benzo(a)antracen,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
Benzo(b)fluoranten,Benzo(b)fluoranten,<0.010,<0.010,<0.010,<0.010,,,,
Benzo(ghi)perylen,Benzo(ghi)perylen,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,0.010,0.016
Benzo(k)fluoranten,Benzo(k)fluoranten,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
"CB_1,2,3-TCB","1,2,3-Triklorbensen",<0.010,<0.010,<0.010,<0.010,,,,
"CB_1,2,4-TCB","1,2,4-Triklorbensen",<0.030,<0.030,<0.030,<0.030,,,,
"CB_1,2-DCB","1,2-Diklorbensen",<0.020,<0.020,<0.020,<0.020,,,,
"CB_1,3,5-TCB","1,3,5-Triklorbensen",<0.010,<0.010,<0.010,<0.010,,,,
"CB_1,4-DCB","1,4-Diklorbensen",<0.020,<0.020,<0.020,<0.020,,,,
CB_HCB,Heksaklorbensen,<0.0050,<0.0050,<0.0050,<0.0050,,,,
CB_MCB,Monoklorbensen,<0.010,<0.010,<0.010,<0.010,,,,
CB_PeCB,Pentaklorbensen,<0.010,<0.010,<0.010,<0.010,,,,
CB_TeCB,"1,2,3,5+1,2,4,5-Tetraklorbensen",<0.020,<0.020,<0.020,<0.020,,,,
CN,Cyanid-fri,<0.100,<0.100,<0.100,<0.100,,,,
"CP_2,3,4,5-TeCP","2,3,4,5-Tetraklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,3,4,6-TeCP","2,3,4,6-Tetraklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,3,4-TCP","2,3,4-Triklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,3,5,6-TeCP","2,3,5,6-Tetraklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,3,5-TCP","2,3,5-Triklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,3,6-TCP","2,3,6-Triklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,3-DCP","2,3-Diklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,4+2,5-DCP","2,4+2,5-Diklorfenol",<0.040,<0.040,<0.040,<0.040,,,,
"CP_2,4,5-TCP","2,4,5-Triklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,4,6-TCP","2,4,6-Triklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_2,6-DCP","2,6-Diklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
CP_2-MCP,2-Monoklorfenol,<0.020,<0.020,<0.020,<0.020,,,,
"CP_3,4,5-TCP","3,4,5-Triklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_3,4-DCP","3,4-Diklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
"CP_3,5-DCP","3,5-Diklorfenol",<0.020,<0.020,<0.020,<0.020,,,,
CP_3-MCP,3-Monoklorfenol,<0.020,<0.020,<0.020,<0.020,,,,
CP_4-MCP,4-Monoklorfenol,<0.020,<0.020,<0.020,<0.020,,,,
CP_PCP,Pentaklorfenol,<0.0060,<0.0060,<0.0060,<0.0060,,,,
Cd,Kadmium,0.770,0.420,0.230,0.640,0.830,1.2,0.520,1.1
Cr,Krom,15.9,13,8.1,12.2,9.8,8.8,16,22
Cr_VI,Cr6+,0.272,0.125,0.080,0.085,,,,
Cu,Kopper,370,401,113,482,400,330,310,670
"Dibenzo(a,h)antracen","Dibenzo(a,h)antracen",<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
