sample_id,tilstandsklasse,limiting_parameters,classification_basis
p18-HL-93930-93960,1,,TA-2553/2009
p18-HL-93960-93990,1,,TA-2553/2009
p18-HL-93980-94030,4,,TA-2553/2009
p18-HL-94030-94080,2,,TA-2553/2009
p18-HL-94080-94130,2,,TA-2553/2009
p18-HL-94180-94230,1,,TA-2553/2009
p18-HL-94230-94280,2,,TA-2553/2009
p18-HL-94280-94330,1,,TA-2553/2009
p18-HL-94330-94380,1,,TA-2553/2009
p18-HL-94380-94430,1,,TA-2553/2009
p18-HL-94430-94480,1,,TA-2553/2009
p18-HL-94480-94530,2,,TA-2553/2009
p18-HL-94530-94580,1,,TA-2553/2009
p18-HL-94580-94630,2,,TA-2553/2009
p18-HL-94630-94680,1,,TA-2553/2009
p18-HL-94680-94730,1,,TA-2553/2009
p18-HL-94730-94780,3,,TA-2553/2009
p18-HL-94780-94830,3,,TA-2553/2009
p18-HL-94830-94855,1,,TA-2553/2009
p18-HL-94855-94880,1,,TA-2553/2009
p18-HL-94880-94905,1,,TA-2553/2009
p18-HL-94905-94930,1,,TA-2553/2009
p18-HL-94930-94955,1,,TA-2553/2009
p18-HL-94955-94980,1,,TA-2553/2009
p18-HL-94980-95005,1,,TA-2553/2009
p18-HL-95005-95030,1,,TA-2553/2009
p18-HL-95030-95055,1,,TA-2553/2009
p18-HL-95055-95080,1,,TA-2553/2009
p18-HL-95080-95105,1,,TA-2553/2009
p18-HL-95105-95130,1,,TA-2553/2009
p18-HL-95130-95155,1,,TA-2553/2009
p18-HL-95155-95180,1,,TA-2553/2009
p18-HL-95180-95205,5,,TA-2553/2009
p18-HL-95205-95230,3,,TA-2553/2009
p18-HL-95230-95255,5,,TA-2553/2009
p18-HL-95255-95280,3,,TA-2553/2009
p18-HL-95280-95305,5,,TA-2553/2009
p18-HL-95305-95330,4,,TA-2553/2009
p18-HL-95330-95355,5,,TA-2553/2009
p18-HL-95355-95380,5,,TA-2553/2009
p18-HL-95380-95405,5,,TA-2553/2009
p18-HL-95405-95430,5,,TA-2553/2009
p18-HL-95430-95455,5,,TA-2553/2009
p18-HL-95455-95480,3,,TA-2553/2009
p18-HL-95480-95505,1,,TA-2553/2009
p18-HL-95505-95530,3,,TA-2553/2009
p18-HL-95530-95555,5,,TA-2553/2009
p18-HL-95555-95580,3,,TA-2553/2009
p18-HL-95580-95605,4,,TA-2553/2009
p18-HL-95605-95630,1,,TA-2553/2009
p18-HL-95630-95655,3,,TA-2553/2009
p18-HL-95655-95680,3,,TA-2553/2009
p18-HL-95680-95705,5,,TA-2553/2009
p18-HL-95705-95730,3,,TA-2553/2009
p18-HL-95730-95755,3,,TA-2553/2009
p18-HL-95755-95780,1,,TA-2553/2009
p18-HL-95780-95805,1,,TA-2553/2009
p18-HL-95805-95830,3,,TA-2553/2009
p18-HL-95830-95855,1,,TA-2553/2009
p18-HL-95855-95880,2,,TA-2553/2009
p18-HL-95880-95905,2,,TA-2553/2009
p18-HL-95905-95930,1,,TA-2553/2009
p18-HL-95930-95955,1,,TA-2553/2009
p18-HL-95955-95980,1,,TA-2553/2009
p18-HL-95980-96005,1,,TA-2553/2009
p18-HL-96005-96030,1,,TA-2553/2009
p18-HL-96030-96055,1,,TA-2553/2009
p18-HL-96055-96080,1,,TA-2553/2009
p18-HL-96080-96105,1,,TA-2553/2009
p18-HL-96105-96130,2,,TA-2553/2009
p18-HL-96130-96155,1,,TA-2553/2009
p18-HL-96155-96180,5,,TA-2553/2009
p18-HL-96180-96205,3,,TA-2553/2009
p18-HL-96205-96230,3,,TA-2553/2009
p18-HL-96230-96255,1,,TA-2553/2009
p18-HL-96255-96280,2,,TA-2553/2009
p18-HL-96280-96305,1,,TA-2553/2009
p18-HL-96305-96330,5,,TA-2553/2009
p18-HL-96330-96355,2,,TA-2553/2009
p18-HL-96355-96380,2,,TA-2553/2009
p18-HL-96380-96405,2,,TA-2553/2009
p18-HL-96405-96430,3,,TA-2553/2009
p18-HL-96430-96455,2,,TA-2553/2009
p18-HL-96455-96480,5,,TA-2553/2009
p18-HL-96480-96505,2,,TA-2553/2009
p18-HL-96505-96530,5,,TA-2553/2009
p18-HL-96530-96555,3,,TA-2553/2009
p18-HL-96555-96580,5,,TA-2553/2009
p18-HL-96580-96605,3,,TA-2553/2009
p18-HL-96605-96630,3,,TA-2553/2009
p18-HL-96630-96655,5,,TA-2553/2009
p18-HL-96655-96680,1,,TA-2553/2009
p18-HL-96680-96705,1,,TA-2553/2009
p18-HL-96705-96730,1,,TA-2553/2009
p18-HL-96730-96755,2,,TA-2553/2009
p18-HL-96755-96780,3,,TA-2553/2009
p18-HL-96780-96805,3,,TA-2553/2009
p18-HL-96805-96830,1,,TA-2553/2009
p18-HL-96830-96855,1,,TA-2553/2009
p18-HL-96855-96880,3,,TA-2553/2009
p18-TVN-1180-1230,2,,TA-2553/2009
p18-TVN-1230-1280,2,,TA-2553/2009
p18-TVN-1280-1330,2,,TA-2553/2009
p18-TVN-1330-1380,3,,TA-2553/2009
p18-TVN-1380-1430,2,,TA-2553/2009
p18-TVN-1430-1480,3,,TA-2553/2009
p18-TVN-1480-1520,3,,TA-2553/2009
p18-TVN-1520-1555,2,,TA-2553/2009
p18-RØ-2005-2055,3,,TA-2553/2009
p18-RØ-2055-2105,3,,TA-2553/2009
p18-TVS-110-150,1,,TA-2553/2009
p18-TVS-150-200,1,,TA-2553/2009
p18-TVS-200-250,1,,TA-2553/2009
p18-TVS-250-300,1,,TA-2553/2009
p18-TVS-300-350,2,,TA-2553/2009
p18-TVS-350-400,1,,TA-2553/2009
