sample_id,decision,decision_remarks,destination,notes
p18-HL-93930-93960,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-93960-93990,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-93980-94030,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94030-94080,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94080-94130,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94180-94230,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94230-94280,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94280-94330,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94330-94380,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94380-94430,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94430-94480,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94480-94530,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94530-94580,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94580-94630,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94630-94680,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94680-94730,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94730-94780,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94780-94830,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-94830-94855,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94855-94880,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94880-94905,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94905-94930,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94930-94955,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94955-94980,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-94980-95005,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95005-95030,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95030-95055,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95055-95080,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95080-95105,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95105-95130,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95130-95155,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95155-95180,gjenbruk,under normverdier,gjenbruk,Autogenerert basert på tilstandsklasse
p18-HL-95180-95205,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95205-95230,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95230-95255,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95255-95280,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95280-95305,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95305-95330,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95330-95355,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95355-95380,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95380-95405,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95405-95430,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
p18-HL-95430-95455,deponi,over normverdier,deponi,Autogenerert basert på tilstandsklasse
