sample_id,parameter,parameter_raw,value,unit,uncertainty,below_limit,loq,analysis_type
p18-HL-93930-93960,DryMatter,Tørrstoff,91.5,%,,False,,totalanalyse
p18-HL-93930-93960,As,Arsen (As),1.3,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Pb,Bly (Pb),7.8,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Cd,Kadmium (Cd),0.2,mg/kg,,True,0.2,totalanalyse
p18-HL-93930-93960,Cu,Kobber (Cu),29.0,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Cr,Krom (Cr),17.0,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Hg,Kvikksølv (Hg),0.0099,mg/kg,,True,0.0099,totalanalyse
p18-HL-93930-93960,Ni,Nikkel (Ni),11.0,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Zn,Sink (Zn),46.0,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Cr_VI,Krom (VI),1.2,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Xylen,m/p/o-Xylen,100.0,µg/kg,,True,100.0,totalanalyse
p18-HL-93930-93960,Alifater C6-C8,Alifater >C6-C8,7.0,mg/kg,,True,7.0,totalanalyse
p18-HL-93930-93960,Alifater C8-C10,Alifater >C8-C10,3.0,mg/kg,,True,3.0,totalanalyse
p18-HL-93930-93960,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p18-HL-93930-93960,Alifater C12-C16,Alifater >C12-C16,11.0,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Alifater C16-C35,Alifater >C16-C35,210.0,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Alifater C12-C35,Alifater >C12-C35,220.0,mg/kg,,False,,totalanalyse
p18-HL-93930-93960,Aromatics C8-C10,Aromater >C8-C10,4.0,mg/kg,,True,4.0,totalanalyse
p18-HL-93930-93960,Aromatics C10-C16,Aromater >C10-C16,0.9,mg/kg,,True,0.9,totalanalyse
p18-HL-93930-93960,Aromatics C16-C35,Aromater >C16-C35,0.5,mg/kg,,True,0.5,totalanalyse
p18-HL-93930-93960,Benzo(a)antracen/Methylchrysener,Methylchrysener/benzo(a)anthracener,0.5,mg/kg,,True,0.5,totalanalyse
p18-HL-93930-93960,Methylpyren/Fluoranthen,Methylpyrene/fluoranthense,0.5,mg/kg,,True,0.5,totalanalyse
p18-HL-93930-93960,Benzo(a)antracen,Benzo[a]antracen,0.03,mg/kg,,True,0.03,totalanalyse
p18-HL-93930-93960,Krysen,Krysen/Trifenylen,0.03,mg/kg,,True,0.03,totalanalyse
p18-HL-93930-93960,BaP,Benzo[a]pyren,0.03,mg/kg,,True,0.03,totalanalyse
p18-HL-93930-93960,"Indeno(1,2,3-cd)pyren","Indeno[1,2,3-cd]pyren",0.03,mg/kg,,True,0.03,totalanalyse
p18-HL-93930-93960,"Dibenzo(a,h)antracen","Dibenzo[a,h]antracen",0.03,mg/kg,,True,0.03,totalanalyse
p18-HL-93930-93960,Benzo(ghi)perylen,Benzo[ghi]perylen,0.03,mg/kg,,True,0.03,totalanalyse
p18-HL-93930-93960,PCB28,PCB 28,0.0015,mg/kg,,True,0.0015,totalanalyse
p18-HL-93930-93960,PCB52,PCB 52,0.0015,mg/kg,,True,0.0015,totalanalyse
p18-HL-93930-93960,PCB101,PCB 101,0.0015,mg/kg,,True,0.0015,totalanalyse
p18-HL-93930-93960,PCB118,PCB 118,0.0015,mg/kg,,True,0.0015,totalanalyse
p18-HL-93930-93960,PCB138,PCB 138,0.0015,mg/kg,,True,0.0015,totalanalyse
p18-HL-93930-93960,PCB153,PCB 153,0.0015,mg/kg,,True,0.0015,totalanalyse
p18-HL-93930-93960,PCB180,PCB 180,0.0015,mg/kg,,True,0.0015,totalanalyse
p18-HL-93960-93990,DryMatter,Tørrstoff,93.9,%,,False,,totalanalyse
p18-HL-93960-93990,As,Arsen (As),1.5,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Pb,Bly (Pb),5.7,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Cd,Kadmium (Cd),0.2,mg/kg,,True,0.2,totalanalyse
p18-HL-93960-93990,Cu,Kobber (Cu),28.0,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Cr,Krom (Cr),12.0,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Hg,Kvikksølv (Hg),0.0096,mg/kg,,True,0.0096,totalanalyse
p18-HL-93960-93990,Ni,Nikkel (Ni),9.5,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Zn,Sink (Zn),45.0,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Cr_VI,Krom (VI),0.68,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Xylen,m/p/o-Xylen,100.0,µg/kg,,True,100.0,totalanalyse
p18-HL-93960-93990,Alifater C6-C8,Alifater >C6-C8,7.0,mg/kg,,True,7.0,totalanalyse
p18-HL-93960-93990,Alifater C8-C10,Alifater >C8-C10,3.0,mg/kg,,True,3.0,totalanalyse
p18-HL-93960-93990,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p18-HL-93960-93990,Alifater C12-C16,Alifater >C12-C16,12.0,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Alifater C16-C35,Alifater >C16-C35,85.0,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Alifater C12-C35,Alifater >C12-C35,97.0,mg/kg,,False,,totalanalyse
p18-HL-93960-93990,Aromatics C8-C10,Aromater >C8-C10,4.0,mg/kg,,True,4.0,totalanalyse
p18-HL-93960-93990,Aromatics C10-C16,Aromater >C10-C16,0.9,mg/kg,,True,0.9,totalanalyse
p18-HL-93960-93990,Aromatics C16-C35,Aromater >C16-C35,0.5,mg/kg,,True,0.5,totalanalyse
p18-HL-93960-93990,Benzo(a)antracen/Methylchrysener,Methylchrysener/benzo(a)anthracener,0.5,mg/kg,,True,0.5,totalanalyse
