sample_id,project_code,sample_date,location_type,profile_start,profile_end,tunnel_name,sample_type,lab_reference,sampler
p18-HL-93930-93960,18_hestnestunnelen,,Hovedløp,93930.0,93960.0,Hestnestunnelen,bunnrensk,439-2024-08230551,Veidekke
p18-HL-93960-93990,18_hestnestunnelen,,Hovedløp,93960.0,93990.0,Hestnestunnelen,bunnrensk,439-2024-08230552,Veidekke
p18-HL-93980-94030,18_hestnestunnelen,,Hovedløp,93980.0,94030.0,Hestnestunnelen,bunnrensk,439-2023-08250227,Veidekke
p18-HL-94030-94080,18_hestnestunnelen,,Hovedløp,94030.0,94080.0,Hestnestunnelen,bunnrensk,439-2023-08250228,Veidekke
p18-HL-94080-94130,18_hestnestunnelen,,Hovedløp,94080.0,94130.0,Hestnestunnelen,bunnrensk,439-2023-08250229,Veidekke
p18-HL-94180-94230,18_hestnestunnelen,,Hovedløp,94180.0,94230.0,Hestnestunnelen,bunnrensk,439-2024-06060671,Veidekke
p18-HL-94230-94280,18_hestnestunnelen,,Hovedløp,94230.0,94280.0,Hestnestunnelen,bunnrensk,439-2024-06060672,Veidekke
p18-HL-94280-94330,18_hestnestunnelen,,Hovedløp,94280.0,94330.0,Hestnestunnelen,bunnrensk,439-2024-06060673,Veidekke
p18-HL-94330-94380,18_hestnestunnelen,,Hovedløp,94330.0,94380.0,Hestnestunnelen,bunnrensk,439-2024-06060674,Veidekke
p18-HL-94380-94430,18_hestnestunnelen,,Hovedløp,94380.0,94430.0,Hestnestunnelen,bunnrensk,439-2024-06060675,Veidekke
p18-HL-94430-94480,18_hestnestunnelen,,Hovedløp,94430.0,94480.0,Hestnestunnelen,bunnrensk,439-2024-06060676,Veidekke
p18-HL-94480-94530,18_hestnestunnelen,,Hovedløp,94480.0,94530.0,Hestnestunnelen,bunnrensk,439-2024-06060677,Veidekke
p18-HL-94530-94580,18_hestnestunnelen,,Hovedløp,94530.0,94580.0,Hestnestunnelen,bunnrensk,439-2024-06060678,Veidekke
p18-HL-94580-94630,18_hestnestunnelen,,Hovedløp,94580.0,94630.0,Hestnestunnelen,bunnrensk,439-2024-06060681,Veidekke
p18-HL-94630-94680,18_hestnestunnelen,,Hovedløp,94630.0,94680.0,Hestnestunnelen,bunnrensk,439-2024-06060682,Veidekke
p18-HL-94680-94730,18_hestnestunnelen,,Hovedløp,94680.0,94730.0,Hestnestunnelen,bunnrensk,439-2024-06060683,Veidekke
p18-HL-94730-94780,18_hestnestunnelen,,Hovedløp,94730.0,94780.0,Hestnestunnelen,bunnrensk,439-2024-06060684,Veidekke
