project_code,inbox_path,filename,extension,size_kb,parent_folder
01_E18-E102,SVV\E18 Vestkorridoren E102\Bunnrensk prøvetaking Høviktunnel (1).pptx,Bunnrensk prøvetaking Høviktunnel (1).pptx,.pptx,2643,SVV\E18 Vestkorridoren E102
01_E18-E102,SVV\E18 Vestkorridoren E102\E102_103 Overvåking bunnrensk og tunnelstein (1).pptx,E102_103 Overvåking bunnrensk og tunnelstein (1).pptx,.pptx,4684,SVV\E18 Vestkorridoren E102
01_E18-E102,SVV\E18 Vestkorridoren E102\Gmail - Bunnrensk E18 Vestkorridoren E102 - bunnrensk dialog med Adam.pdf,Gmail - Bunnrensk E18 Vestkorridoren E102 - bunnrensk dialog med Adam.pdf,.pdf,253,SVV\E18 Vestkorridoren E102
01_E18-E102,SVV\E18 Vestkorridoren E102\Grøft for prøvetaking.jpg,Grøft for prøvetaking.jpg,.jpg,4566,SVV\E18 Vestkorridoren E102
01_E18-E102,SVV\E18 Vestkorridoren E102\Høvik tunnel bunnrensk.xlsx,Høvik tunnel bunnrensk.xlsx,.xlsx,24,SVV\E18 Vestkorridoren E102
01_E18-E102,SVV\E18 Vestkorridoren E102\Kornfordeling Høvik bunnrensk mai 2025.xlsx,Kornfordeling Høvik bunnrensk mai 2025.xlsx,.xlsx,4214,SVV\E18 Vestkorridoren E102
02_E18-E103,"SVV\E18 Vestkorridoren E103\Alle bunnrenskprøver, mangler siste blandeprøve ØL (1).xlsx","Alle bunnrenskprøver, mangler siste blandeprøve ØL (1).xlsx",.xlsx,6033,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\Benzen- Samleark 103.xlsx,Benzen- Samleark 103.xlsx,.xlsx,4555,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\Dialogmøte angående benzen og bunnrensk.pdf,Dialogmøte angående benzen og bunnrensk.pdf,.pdf,2605,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\Endret tillatelse etter forurensningsloven til permanent disponering av bunnrenskmasser - E18 Ly (1).pdf,Endret tillatelse etter forurensningsloven til permanent disponering av bunnrenskmasser - E18 Ly (1).pdf,.pdf,123,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\Kildetester.xlsx,Kildetester.xlsx,.xlsx,23,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\Rapport Skanska E103 med vedlegg.pdf,Rapport Skanska E103 med vedlegg.pdf,.pdf,164,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\Resultateksport data (8).xlsx,Resultateksport data (8).xlsx,.xlsx,4530,SVV\E18 Vestkorridoren E103
02_E18-E103,"SVV\E18 Vestkorridoren E103\Søknad om endring i utslippstillatelse, bunnrenskmasser - E18 Vestkorridoren (1).pdf","Søknad om endring i utslippstillatelse, bunnrenskmasser - E18 Vestkorridoren (1).pdf",.pdf,1258,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\Vilkår til endret tillatelse etter forurensningsloven - Nyttiggjøring av bunnrenskmasser - E18 L (1).pdf,Vilkår til endret tillatelse etter forurensningsloven - Nyttiggjøring av bunnrenskmasser - E18 L (1).pdf,.pdf,238,SVV\E18 Vestkorridoren E103
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\EDD_XLS_STD_NO2326608_0_nb-NO (2).xlsx,EDD_XLS_STD_NO2326608_0_nb-NO (2).xlsx,.xlsx,24,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\EDD_XLS_STD_NO2326608_0_nb-NO.xlsx,EDD_XLS_STD_NO2326608_0_nb-NO.xlsx,.xlsx,24,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\EDD_XLS_STD_NO2503280_0_nb-NO.xlsx,EDD_XLS_STD_NO2503280_0_nb-NO.xlsx,.xlsx,19,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\EDD_XLS_STD_NO2504945_0_nb-NO.xlsx,EDD_XLS_STD_NO2504945_0_nb-NO.xlsx,.xlsx,20,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\EDD_XLS_STD_NO2510239_0_nb-NO.xlsx,EDD_XLS_STD_NO2510239_0_nb-NO.xlsx,.xlsx,19,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\EDD_XLS_STD_NO2512144_0_nb-NO.xlsx,EDD_XLS_STD_NO2512144_0_nb-NO.xlsx,.xlsx,19,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\EDD_XLS_STD_NO2518613_0_nb-NO.xlsx,EDD_XLS_STD_NO2518613_0_nb-NO.xlsx,.xlsx,19,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\NO2326608001.pdf,NO2326608001.pdf,.pdf,56,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\NO2326608002.pdf,NO2326608002.pdf,.pdf,64,SVV\E18 Vestkorridoren E103\resultater
02_E18-E103,SVV\E18 Vestkorridoren E103\resultater\NO2326608003.pdf,NO2326608003.pdf,.pdf,63,SVV\E18 Vestkorridoren E103\resultater
